annual_income,annual_spending,age,spending_ratio,segment_true,cluster_true
94463.58,12185.44,49,0.129,Premium,0
83981.85,9394.34,47,0.112,Premium,0
145301.33,19975.68,54,0.137,Premium,0
105626.1,19960.7,35,0.189,Premium,0
109158.55,20016.31,54,0.183,Premium,0
138290.02,20270.48,40,0.147,Premium,0
138670.59,14972.3,41,0.108,Premium,0
117262.6,20055.49,53,0.171,Premium,0
119952.0,20227.02,36,0.169,Premium,0
148225.82,20116.65,37,0.136,Premium,0
141743.42,20044.13,49,0.141,Premium,0
126995.66,17014.1,42,0.134,Premium,0
137118.51,19370.7,51,0.141,Premium,0
145093.77,20157.81,45,0.139,Premium,0
133089.46,19847.73,47,0.149,Premium,0
136229.16,18227.8,52,0.134,Premium,0
108009.53,19071.47,36,0.177,Premium,0
80822.48,14533.12,44,0.18,Premium,0
102399.46,8491.44,46,0.083,Premium,0
83200.99,11889.66,51,0.143,Premium,0
87907.24,19123.03,45,0.218,Premium,0
95029.39,9294.63,47,0.098,Premium,0
84399.37,14756.33,45,0.175,Premium,0
124726.5,20172.76,49,0.162,Premium,0
116895.27,20017.56,41,0.171,Premium,0
97669.33,8863.59,43,0.091,Premium,0
82011.65,18106.21,54,0.221,Premium,0
126739.01,13893.2,43,0.11,Premium,0
90794.88,16273.36,40,0.179,Premium,0
128756.26,16548.36,48,0.129,Premium,0
145810.84,20028.68,49,0.137,Premium,0
124550.96,15126.51,43,0.121,Premium,0
106445.91,8660.32,50,0.081,Premium,0
88977.86,8394.6,35,0.094,Premium,0
138353.02,19855.05,49,0.144,Premium,0
86405.42,13983.62,44,0.162,Premium,0
93822.45,13438.11,43,0.143,Premium,0
123307.91,10489.61,47,0.085,Premium,0
109469.9,17440.99,47,0.159,Premium,0
140504.93,15064.3,48,0.107,Premium,0
85208.68,7900.06,47,0.093,Premium,0
120571.53,19838.81,53,0.165,Premium,0
107358.84,16595.38,47,0.155,Premium,0
117979.72,17194.0,53,0.146,Premium,0
148274.68,16334.63,53,0.11,Premium,0
86194.66,8176.94,37,0.095,Premium,0
85510.64,8019.19,48,0.094,Premium,0
54300.45,4376.02,37,0.081,Young_Professional,1
70935.74,7285.13,29,0.103,Young_Professional,1
70096.98,7824.9,34,0.112,Young_Professional,1
69182.8,8074.3,37,0.117,Young_Professional,1
48196.37,8312.05,36,0.172,Young_Professional,1
80211.68,7563.47,31,0.094,Young_Professional,1
75664.61,8026.78,30,0.106,Young_Professional,1
75035.95,7962.72,31,0.106,Young_Professional,1
72582.87,8156.29,26,0.112,Young_Professional,1
62798.39,8049.63,37,0.128,Young_Professional,1
76204.87,6073.06,30,0.08,Young_Professional,1
77975.06,7925.73,26,0.102,Young_Professional,1
77845.79,7814.69,39,0.1,Young_Professional,1
67488.64,8250.49,31,0.122,Young_Professional,1
56953.63,8004.96,35,0.141,Young_Professional,1
71769.96,7386.31,36,0.103,Young_Professional,1
63693.55,7985.88,25,0.125,Young_Professional,1
60208.63,7835.09,38,0.13,Young_Professional,1
48039.32,7647.61,27,0.159,Young_Professional,1
67388.73,5864.05,26,0.087,Young_Professional,1
68276.08,7631.22,26,0.112,Young_Professional,1
69757.93,6645.18,26,0.095,Young_Professional,1
79519.62,8118.43,30,0.102,Young_Professional,1
74968.21,7631.91,39,0.102,Young_Professional,1
72032.81,6930.9,30,0.096,Young_Professional,1
72165.1,7887.55,33,0.109,Young_Professional,1
77867.26,8034.17,26,0.103,Young_Professional,1
47343.65,4441.63,32,0.094,Young_Professional,1
49939.55,8208.78,26,0.164,Young_Professional,1
71126.06,7937.49,33,0.112,Young_Professional,1
56283.92,7792.53,29,0.138,Young_Professional,1
51334.71,3834.29,39,0.075,Young_Professional,1
78518.45,7832.58,25,0.1,Young_Professional,1
62616.23,5824.66,39,0.093,Young_Professional,1
64123.14,7770.19,39,0.121,Young_Professional,1
67108.26,7969.44,35,0.119,Young_Professional,1
67706.09,8017.89,33,0.118,Young_Professional,1
46491.92,7947.65,29,0.171,Young_Professional,1
76840.32,7848.68,31,0.102,Young_Professional,1
54798.6,8039.26,27,0.147,Young_Professional,1
54601.71,5450.37,33,0.1,Young_Professional,1
77788.77,7746.16,39,0.1,Young_Professional,1
63561.65,8328.46,29,0.131,Young_Professional,1
67272.04,7977.05,27,0.119,Young_Professional,1
74628.69,8004.39,39,0.107,Young_Professional,1
68612.55,8164.87,31,0.119,Young_Professional,1
77018.49,6416.85,25,0.083,Young_Professional,1
57877.4,8221.89,37,0.142,Young_Professional,1
52351.58,7342.71,33,0.14,Young_Professional,1
79155.13,7857.43,37,0.099,Young_Professional,1
60932.35,7850.52,31,0.129,Young_Professional,1
46114.39,7733.75,37,0.168,Young_Professional,1
79566.67,8025.27,39,0.101,Young_Professional,1
71371.12,7992.26,39,0.112,Young_Professional,1
53895.76,5422.28,31,0.101,Young_Professional,1
78616.59,7970.08,34,0.101,Young_Professional,1
68513.78,7561.91,34,0.11,Young_Professional,1
49586.23,7872.26,35,0.159,Young_Professional,1
73698.02,8021.61,32,0.109,Young_Professional,1
65646.1,8037.21,33,0.122,Young_Professional,1
57043.07,4779.8,27,0.084,Young_Professional,1
67854.36,8294.65,34,0.122,Young_Professional,1
53761.78,4124.36,27,0.077,Young_Professional,1
55356.95,8225.69,33,0.149,Young_Professional,1
59996.95,8099.45,38,0.135,Young_Professional,1
61351.49,7849.56,36,0.128,Young_Professional,1
64250.29,8413.28,37,0.131,Young_Professional,1
50905.61,7722.13,38,0.152,Young_Professional,1
55101.35,8213.98,31,0.149,Young_Professional,1
61434.53,8232.93,29,0.134,Young_Professional,1
49777.69,5286.37,26,0.106,Young_Professional,1
48716.87,5450.48,27,0.112,Young_Professional,1
67979.14,7941.79,27,0.117,Young_Professional,1
74317.14,8067.21,32,0.109,Young_Professional,1
51287.9,4497.64,27,0.088,Young_Professional,1
50891.3,5573.8,29,0.11,Young_Professional,1
48915.59,7805.26,26,0.16,Young_Professional,1
52389.09,8184.72,30,0.156,Young_Professional,1
67801.54,7592.95,25,0.112,Young_Professional,1
68651.69,8303.64,26,0.121,Young_Professional,1
77008.59,7612.98,25,0.099,Young_Professional,1
73178.81,8240.37,36,0.113,Young_Professional,1
51020.67,8262.29,30,0.162,Young_Professional,1
66018.33,7746.03,30,0.117,Young_Professional,1
69922.77,7904.36,25,0.113,Young_Professional,1
69725.12,7742.6,38,0.111,Young_Professional,1
66020.33,7949.97,26,0.12,Young_Professional,1
61720.96,7928.29,28,0.128,Young_Professional,1
55945.99,8024.82,25,0.143,Young_Professional,1
54460.29,5563.94,29,0.102,Young_Professional,1
75875.4,8324.91,33,0.11,Young_Professional,1
71684.3,6751.89,32,0.094,Young_Professional,1
65254.58,7951.29,33,0.122,Young_Professional,1
59260.23,7316.48,26,0.123,Young_Professional,1
60264.26,7812.4,34,0.13,Young_Professional,1
58412.47,8224.61,39,0.141,Young_Professional,1
52619.87,6025.47,26,0.115,Young_Professional,1
56628.71,5701.6,27,0.101,Young_Professional,1
54130.34,7862.08,27,0.145,Young_Professional,1
48847.1,7153.96,32,0.146,Young_Professional,1
79802.25,8065.22,26,0.101,Young_Professional,1
80753.89,7811.53,37,0.097,Young_Professional,1
56212.69,8098.72,27,0.144,Young_Professional,1
77572.97,7889.69,33,0.102,Young_Professional,1
53744.5,6123.06,36,0.114,Young_Professional,1
56972.72,8127.17,31,0.143,Young_Professional,1
52535.55,8001.5,26,0.152,Young_Professional,1
57920.78,5752.55,33,0.099,Young_Professional,1
62031.05,5466.48,32,0.088,Young_Professional,1
56269.71,5133.67,27,0.091,Young_Professional,1
79907.16,7913.86,29,0.099,Young_Professional,1
52026.47,7939.75,35,0.153,Young_Professional,1
64487.12,8372.16,32,0.13,Young_Professional,1
58890.95,8130.58,38,0.138,Young_Professional,1
77856.3,7931.21,26,0.102,Young_Professional,1
76376.26,7269.56,27,0.095,Young_Professional,1
71690.52,7922.29,33,0.111,Young_Professional,1
51552.0,5974.59,36,0.116,Young_Professional,1
51734.48,8086.05,27,0.156,Young_Professional,1
69676.35,7975.02,32,0.114,Young_Professional,1
74642.52,8104.23,30,0.109,Young_Professional,1
58379.21,7634.31,30,0.131,Young_Professional,1
57650.07,7737.69,36,0.134,Young_Professional,1
52675.69,7439.43,38,0.141,Young_Professional,1
63673.19,8033.28,38,0.126,Young_Professional,1
56535.37,10611.88,48,0.188,Family,2
64174.93,12519.44,32,0.195,Family,2
75441.14,12148.54,40,0.161,Family,2
84574.86,10961.34,33,0.13,Family,2
59038.66,4717.57,44,0.08,Family,2
74094.55,11873.67,45,0.16,Family,2
63763.09,6108.99,46,0.096,Family,2
84234.11,11855.47,32,0.141,Family,2
84031.64,9703.75,32,0.115,Family,2
79601.06,11890.1,44,0.149,Family,2
78511.55,9088.36,40,0.116,Family,2
65329.33,12174.11,33,0.186,Family,2
72824.74,11376.98,38,0.156,Family,2
86716.45,12055.7,33,0.139,Family,2
68772.84,6317.92,42,0.092,Family,2
82132.1,11785.97,48,0.144,Family,2
80744.68,11410.96,48,0.141,Family,2
54557.09,10207.95,41,0.187,Family,2
66655.48,12256.3,44,0.184,Family,2
86635.21,9092.94,39,0.105,Family,2
89824.01,8759.75,46,0.098,Family,2
87975.7,12115.63,47,0.138,Family,2
74855.67,6469.41,37,0.086,Family,2
62591.59,5097.9,46,0.081,Family,2
63106.0,11469.35,37,0.182,Family,2
87189.83,11650.11,36,0.134,Family,2
79151.89,9454.61,39,0.119,Family,2
70347.84,7598.65,32,0.108,Family,2
70622.07,12252.77,38,0.173,Family,2
65524.58,12022.81,41,0.183,Family,2
51451.8,5642.77,43,0.11,Family,2
90085.65,11908.83,32,0.132,Family,2
53667.42,8895.89,49,0.166,Family,2
71999.86,11920.11,31,0.166,Family,2
58955.78,6852.89,47,0.116,Family,2
56715.62,9148.85,30,0.161,Family,2
71853.6,12087.79,31,0.168,Family,2
68952.45,10548.79,40,0.153,Family,2
67764.09,7287.18,41,0.108,Family,2
57306.91,11988.04,47,0.209,Family,2
65364.73,11587.25,35,0.177,Family,2
68732.44,7363.03,30,0.107,Family,2
78975.94,6442.5,43,0.082,Family,2
62521.2,11283.37,34,0.18,Family,2
51580.12,10830.9,32,0.21,Family,2
54676.75,7205.04,43,0.132,Family,2
55032.33,10448.7,34,0.19,Family,2
84761.48,12730.45,46,0.15,Family,2
78529.04,10207.24,34,0.13,Family,2
86795.87,8168.25,30,0.094,Family,2
58121.61,6451.14,30,0.111,Family,2
71607.66,12066.48,38,0.169,Family,2
82405.11,10384.27,36,0.126,Family,2
63996.99,8335.87,41,0.13,Family,2
74153.24,12129.34,38,0.164,Family,2
68269.06,12020.85,35,0.176,Family,2
82882.07,11954.06,32,0.144,Family,2
70049.78,11964.78,47,0.171,Family,2
65334.32,8375.94,30,0.128,Family,2
72287.81,9139.04,42,0.126,Family,2
57249.5,12138.18,46,0.212,Family,2
70173.92,8285.73,33,0.118,Family,2
50548.01,5227.15,48,0.103,Family,2
73081.22,12045.33,35,0.165,Family,2
74957.98,8749.14,46,0.117,Family,2
51347.41,11662.19,32,0.227,Family,2
84786.27,12261.69,41,0.145,Family,2
77188.81,12220.58,33,0.158,Family,2
65508.35,11048.64,37,0.169,Family,2
51266.21,10754.04,33,0.21,Family,2
54323.27,6262.36,42,0.115,Family,2
65049.86,8889.33,35,0.137,Family,2
81179.56,11854.1,35,0.146,Family,2
68482.54,12200.76,43,0.178,Family,2
79617.43,6986.51,34,0.088,Family,2
61796.17,5487.52,41,0.089,Family,2
67868.96,9726.42,41,0.143,Family,2
78371.39,7619.64,32,0.097,Family,2
76991.66,11850.67,39,0.154,Family,2
69160.69,12100.55,34,0.175,Family,2
81204.05,10537.08,43,0.13,Family,2
77190.66,7210.36,37,0.093,Family,2
85902.6,12276.77,32,0.143,Family,2
68098.6,11841.76,33,0.174,Family,2
87076.76,12081.82,44,0.139,Family,2
79159.82,12249.13,43,0.155,Family,2
62872.79,7048.6,39,0.112,Family,2
91198.41,7555.16,48,0.083,Family,2
79656.68,8621.16,48,0.108,Family,2
73547.34,6063.66,48,0.082,Family,2
78986.5,11842.82,35,0.15,Family,2
88070.68,11966.36,48,0.136,Family,2
83336.25,11156.95,46,0.134,Family,2
83151.9,11928.31,30,0.143,Family,2
58962.09,5069.66,32,0.086,Family,2
77217.04,12049.65,36,0.156,Family,2
53589.18,9034.86,36,0.169,Family,2
82966.34,11809.79,36,0.142,Family,2
85562.88,10372.25,42,0.121,Family,2
53044.55,4480.66,47,0.084,Family,2
83389.73,11625.77,40,0.139,Family,2
81680.21,11264.57,49,0.138,Family,2
79683.99,11820.95,38,0.148,Family,2
72487.1,11781.19,47,0.163,Family,2
80615.19,12193.1,38,0.151,Family,2
79332.85,7808.26,34,0.098,Family,2
66303.69,8306.36,35,0.125,Family,2
60227.44,4461.38,30,0.074,Family,2
88075.06,12147.92,38,0.138,Family,2
79781.59,11711.51,34,0.147,Family,2
83163.23,12013.95,31,0.144,Family,2
85979.66,12064.57,48,0.14,Family,2
74219.39,12316.76,33,0.166,Family,2
57923.67,10982.09,48,0.19,Family,2
73788.39,8155.79,40,0.111,Family,2
58585.35,6416.21,34,0.11,Family,2
83821.77,7712.12,37,0.092,Family,2
90924.62,12288.42,47,0.135,Family,2
89111.93,12048.81,33,0.135,Family,2
78762.1,8413.52,43,0.107,Family,2
82830.56,9942.67,34,0.12,Family,2
69003.2,11773.36,41,0.171,Family,2
54111.9,6826.48,47,0.126,Family,2
54973.96,12117.67,47,0.22,Family,2
83832.66,12246.81,46,0.146,Family,2
44293.16,6642.44,56,0.15,Senior,3
41899.69,6091.35,60,0.145,Senior,3
44130.5,5151.39,56,0.117,Senior,3
48859.9,5994.05,56,0.123,Senior,3
40833.28,5588.17,64,0.137,Senior,3
54701.91,5838.27,61,0.107,Senior,3
49453.08,5904.72,60,0.119,Senior,3
56248.51,5877.99,68,0.105,Senior,3
55378.9,6035.47,69,0.109,Senior,3
50081.05,5808.54,68,0.116,Senior,3
53237.78,6260.97,58,0.118,Senior,3
54757.59,6000.05,55,0.11,Senior,3
34288.6,5997.83,61,0.175,Senior,3
35895.3,5923.67,71,0.165,Senior,3
46941.72,5860.83,55,0.125,Senior,3
48367.6,6192.08,74,0.128,Senior,3
37508.97,5798.14,67,0.155,Senior,3
52166.2,5846.79,57,0.112,Senior,3
45080.38,5929.29,74,0.132,Senior,3
48661.59,4458.52,73,0.092,Senior,3
58631.16,5128.85,68,0.087,Senior,3
40307.91,3458.32,69,0.086,Senior,3
46340.67,6203.55,61,0.134,Senior,3
33462.0,6061.12,72,0.181,Senior,3
58686.77,6045.07,69,0.103,Senior,3
52717.99,4616.31,55,0.088,Senior,3
38662.23,5968.02,64,0.154,Senior,3
47104.97,6090.9,63,0.129,Senior,3
61151.39,5975.97,63,0.098,Senior,3
35940.28,6061.78,70,0.169,Senior,3
36229.24,5864.34,56,0.162,Senior,3
49729.13,5432.25,60,0.109,Senior,3
35254.05,5968.74,63,0.169,Senior,3
40404.28,6331.21,67,0.157,Senior,3
37485.8,5933.79,74,0.158,Senior,3
57934.94,6224.74,59,0.107,Senior,3
29178.04,4700.49,68,0.161,Senior,3
56341.73,6020.64,64,0.107,Senior,3
33666.58,6045.93,72,0.18,Senior,3
53780.65,5856.21,71,0.109,Senior,3
48736.71,4099.11,57,0.084,Senior,3
55364.28,6143.35,67,0.111,Senior,3
46076.28,4781.79,57,0.104,Senior,3
49538.54,5736.68,63,0.116,Senior,3
43613.5,5895.2,56,0.135,Senior,3
38350.59,5054.33,70,0.132,Senior,3
45264.67,4170.16,55,0.092,Senior,3
40352.68,5663.88,64,0.14,Senior,3
38836.23,5465.46,68,0.141,Senior,3
53995.87,5871.84,55,0.109,Senior,3
34118.25,5715.82,59,0.168,Senior,3
34521.89,5881.71,64,0.17,Senior,3
50560.12,4136.35,66,0.082,Senior,3
38635.23,3672.41,65,0.095,Senior,3
40639.41,4120.9,55,0.101,Senior,3
40406.72,6076.06,57,0.15,Senior,3
46594.11,5849.21,71,0.126,Senior,3
35635.66,6144.85,57,0.172,Senior,3
52459.76,5734.88,55,0.109,Senior,3
28251.08,6241.9,65,0.221,Senior,3
54715.46,5982.36,69,0.109,Senior,3
41050.32,3918.05,71,0.095,Senior,3
59724.96,5750.48,65,0.096,Senior,3
43598.66,5638.29,67,0.129,Senior,3
50928.5,4879.19,56,0.096,Senior,3
37157.05,6087.63,58,0.164,Senior,3
38501.22,4810.94,74,0.125,Senior,3
34559.2,5797.55,70,0.168,Senior,3
43827.02,6262.0,66,0.143,Senior,3
36177.81,5723.11,74,0.158,Senior,3
48175.13,6382.41,58,0.132,Senior,3
32337.69,3772.68,55,0.117,Senior,3
46153.21,6148.61,72,0.133,Senior,3
52733.51,5923.5,63,0.112,Senior,3
40777.87,3711.37,74,0.091,Senior,3
55602.41,5873.33,66,0.106,Senior,3
49569.29,5962.1,64,0.12,Senior,3
58257.4,6009.53,63,0.103,Senior,3
47661.54,5299.13,73,0.111,Senior,3
48436.33,6172.46,67,0.127,Senior,3
38417.32,5880.53,69,0.153,Senior,3
35808.74,5946.78,59,0.166,Senior,3
34376.82,5567.85,72,0.162,Senior,3
36820.04,5229.39,72,0.142,Senior,3
47052.32,5955.53,62,0.127,Senior,3
35064.3,6561.65,62,0.187,Senior,3
35730.44,5288.75,68,0.148,Senior,3
54491.09,5995.52,57,0.11,Senior,3
42678.3,3972.82,59,0.093,Senior,3
37715.32,4823.13,65,0.128,Senior,3
56378.55,6127.37,63,0.109,Senior,3
47888.11,4983.93,69,0.104,Senior,3
36821.98,6259.41,55,0.17,Senior,3
50009.14,6166.54,64,0.123,Senior,3
55363.97,6167.19,66,0.111,Senior,3
36853.86,4655.0,57,0.126,Senior,3
30527.73,6004.57,65,0.197,Senior,3
30279.35,5048.01,57,0.167,Senior,3
59458.18,6137.77,61,0.103,Senior,3
30778.51,5917.58,57,0.192,Senior,3
58388.46,5866.47,55,0.1,Senior,3
47836.45,6023.71,72,0.126,Senior,3
46060.91,6360.61,64,0.138,Senior,3
37077.04,4236.46,55,0.114,Senior,3
49645.89,5658.37,59,0.114,Senior,3
59131.27,6038.36,56,0.102,Senior,3
45289.59,4781.23,72,0.106,Senior,3
50667.28,6040.35,71,0.119,Senior,3
51130.75,6056.79,64,0.118,Senior,3
54579.82,4723.04,66,0.087,Senior,3
58528.08,6346.83,68,0.108,Senior,3
36208.25,4986.88,68,0.138,Senior,3
50916.99,5807.13,57,0.114,Senior,3
61644.73,5975.96,55,0.097,Senior,3
45832.58,5617.47,72,0.123,Senior,3
47821.97,5959.06,69,0.125,Senior,3
42580.32,6386.78,61,0.15,Senior,3
54507.51,6004.86,70,0.11,Senior,3
42573.07,4379.22,71,0.103,Senior,3
46808.54,5706.64,55,0.122,Senior,3
40580.29,5856.51,62,0.144,Senior,3
41892.58,4927.4,63,0.118,Senior,3
43042.16,3734.48,59,0.087,Senior,3
46694.32,6298.36,68,0.135,Senior,3
45500.63,6129.83,62,0.135,Senior,3
