customer_id,age,income,spending_score,membership_years,gender,city,preferred_category,total_purchases,last_purchase_days,average_order_value,loyalty_points,segment_true
CUST_00042,31,36136,82,1.9,Other,Philadelphia,Fashion,15,9,21406.14,6421,young_spenders
CUST_00043,32,35750,83,2.1,Male,Chicago,Fashion,20,6,8824.36,3529,young_spenders
CUST_00044,27,30438,84,2.2,Female,Philadelphia,Electronics,17,33,21994.6,7478,young_spenders
CUST_00045,27,37976,80,2.8,Female,Philadelphia,Electronics,21,70,19456.54,8171,young_spenders
CUST_00046,29,29230,88,2.1,Female,San Antonio,Electronics,16,45,15415.38,4932,young_spenders
CUST_00047,24,34814,84,1.7,Male,San Antonio,Entertainment,14,2,12713.92,3559,young_spenders
CUST_00048,29,29119,88,1.4,Other,Los Angeles,Fashion,14,62,21384.01,5987,young_spenders
CUST_00049,27,32357,82,1.3,Male,Dallas,Electronics,7,1,42171.6,5904,young_spenders
CUST_00050,28,37837,79,1.4,Female,San Antonio,Electronics,8,19,35087.86,5614,young_spenders
CUST_00051,32,34169,84,1.9,Other,Dallas,Entertainment,16,22,17250.32,5520,young_spenders
CUST_00052,26,34376,82,1.3,Male,Houston,Electronics,9,66,22654.61,4077,young_spenders
CUST_00053,28,39933,82,1.4,Female,Houston,Electronics,12,10,18796.38,4511,young_spenders
CUST_00054,28,30282,84,0.9,Female,San Diego,Entertainment,4,57,25273.0,2021,young_spenders
CUST_00055,30,35484,89,1.7,Male,Philadelphia,Electronics,19,54,7914.33,3007,young_spenders
CUST_00056,34,32455,74,1.1,Female,Phoenix,Entertainment,7,12,24363.15,3410,young_spenders
CUST_00057,25,35765,80,1.9,Other,New York,Fashion,10,27,27996.78,5599,young_spenders
CUST_00058,26,36237,79,1.8,Male,Phoenix,Electronics,15,4,18193.5,5458,young_spenders
CUST_00059,29,36584,80,1.5,Other,Philadelphia,Fashion,10,37,24870.22,4974,young_spenders
CUST_00060,32,35061,89,1.9,Other,San Antonio,Entertainment,15,71,19435.48,5830,young_spenders
CUST_00061,24,32450,86,2.2,Male,Houston,Electronics,19,45,18337.04,6968,young_spenders
CUST_00062,30,34827,90,1.6,Other,San Diego,Fashion,15,18,22529.42,6758,young_spenders
CUST_00063,22,33714,88,2.6,Female,San Jose,Fashion,26,16,7379.02,3837,young_spenders
CUST_00064,27,37892,78,1.4,Other,San Diego,Fashion,14,2,22407.13,6273,young_spenders
CUST_00065,28,37603,93,2.0,Male,Chicago,Entertainment,17,0,27180.51,9241,young_spenders
CUST_00066,27,38505,81,1.7,Other,Chicago,Electronics,13,26,29802.94,7748,young_spenders
CUST_00067,28,30602,85,1.7,Male,Houston,Electronics,13,97,13903.1,3614,young_spenders
CUST_00068,29,35366,87,1.5,Other,New York,Fashion,11,16,20330.45,4472,young_spenders
CUST_00069,30,33684,75,2.0,Other,Houston,Fashion,18,20,7573.24,2726,young_spenders
CUST_00070,34,33107,81,1.4,Other,Los Angeles,Entertainment,16,48,21394.51,6846,young_spenders
CUST_00071,28,35099,79,1.4,Male,San Diego,Electronics,13,5,21961.25,5709,young_spenders
CUST_00072,28,39166,84,1.6,Male,San Antonio,Fashion,11,30,20419.8,4492,young_spenders
CUST_00073,24,40882,77,1.4,Female,Dallas,Electronics,9,15,38621.93,6951,young_spenders
CUST_00074,25,33776,84,1.8,Male,San Diego,Electronics,11,21,18240.67,4012,young_spenders
CUST_00075,25,37477,83,1.7,Male,Phoenix,Fashion,10,9,32933.49,6586,young_spenders
CUST_00076,26,41036,82,1.4,Male,San Antonio,Electronics,14,30,17476.35,4893,young_spenders
CUST_00077,28,37688,84,0.8,Other,Houston,Fashion,3,14,18035.22,1082,young_spenders
CUST_00078,29,37493,88,1.7,Female,Houston,Entertainment,24,19,16036.98,7697,young_spenders
CUST_00079,29,29936,82,1.5,Male,New York,Fashion,13,2,16887.71,4390,young_spenders
CUST_00080,29,37559,89,1.4,Female,Los Angeles,Entertainment,6,102,32667.66,3920,young_spenders
CUST_00081,30,33018,83,2.6,Male,Los Angeles,Fashion,25,30,13608.65,6804,young_spenders
CUST_00082,30,39516,86,1.8,Other,Dallas,Entertainment,15,3,20056.2,6016,young_spenders
CUST_00083,28,37271,82,1.8,Male,Los Angeles,Entertainment,13,7,24187.32,6288,young_spenders
CUST_00084,27,31525,87,1.6,Male,Los Angeles,Fashion,12,46,23781.17,5707,young_spenders
CUST_00085,29,37965,82,2.2,Male,San Diego,Entertainment,26,19,10115.44,5260,young_spenders
CUST_00086,31,32313,81,1.9,Female,Los Angeles,Electronics,18,18,5444.6,1960,young_spenders
CUST_00087,24,30975,78,2.0,Female,San Diego,Entertainment,24,63,9566.38,4591,young_spenders
CUST_00088,26,34676,82,2.2,Male,New York,Electronics,12,14,21338.16,5121,young_spenders
CUST_00089,27,38963,88,1.5,Other,Dallas,Fashion,15,7,19071.43,5721,young_spenders
CUST_00090,29,27514,78,1.7,Other,Philadelphia,Entertainment,20,9,5058.78,2023,young_spenders
CUST_00091,28,40981,80,1.8,Female,San Diego,Entertainment,19,52,30335.94,11527,young_spenders
CUST_00092,27,36364,85,2.2,Male,Dallas,Fashion,15,5,20999.54,6299,young_spenders
CUST_00093,30,40105,79,2.0,Female,San Antonio,Electronics,10,51,25128.95,5025,young_spenders
CUST_00094,29,37725,76,1.8,Other,Philadelphia,Entertainment,11,23,26767.95,5888,young_spenders
CUST_00095,29,40258,82,1.9,Male,Philadelphia,Fashion,10,10,28590.32,5718,young_spenders
CUST_00096,28,28966,86,1.5,Other,New York,Electronics,8,0,25865.86,4138,young_spenders
CUST_00097,30,33476,82,1.2,Female,Chicago,Fashion,12,58,25831.94,6199,young_spenders
CUST_00098,29,28844,80,2.2,Female,San Diego,Electronics,21,60,7924.69,3328,young_spenders
CUST_00099,28,31044,80,1.8,Other,New York,Electronics,18,0,13128.33,4726,young_spenders
CUST_00100,25,32745,90,1.7,Other,New York,Fashion,8,9,16820.8,2691,young_spenders
CUST_00101,28,32706,92,1.5,Female,Chicago,Fashion,11,1,30407.91,6689,young_spenders
CUST_00102,29,34987,77,2.4,Female,New York,Fashion,19,11,17910.96,6806,young_spenders
CUST_00103,27,38583,85,1.3,Other,Philadelphia,Fashion,15,3,24171.79,7251,young_spenders
CUST_00104,28,41039,83,1.9,Other,Houston,Electronics,20,50,20512.93,8205,young_spenders
CUST_00105,28,39390,84,2.7,Other,Chicago,Electronics,26,46,8787.65,4569,young_spenders
CUST_00106,27,36686,74,1.4,Other,New York,Entertainment,9,16,27037.29,4866,young_spenders
CUST_00107,30,34630,86,2.1,Female,Los Angeles,Electronics,17,38,9310.46,3165,young_spenders
CUST_00108,32,32039,76,1.5,Female,San Antonio,Electronics,15,44,5106.19,1531,young_spenders
CUST_00109,29,34028,75,1.7,Female,New York,Entertainment,17,26,4949.15,1682,young_spenders
CUST_00110,29,32086,75,2.5,Female,Chicago,Electronics,17,8,20685.33,7033,young_spenders
CUST_00111,28,30723,86,1.5,Male,Phoenix,Entertainment,12,5,31931.34,7663,young_spenders
CUST_00112,30,33927,91,1.9,Male,Houston,Electronics,18,6,19364.8,6971,young_spenders
CUST_00113,25,37097,83,1.4,Male,Los Angeles,Fashion,14,0,35002.23,9800,young_spenders
CUST_00114,28,34554,87,0.9,Female,Phoenix,Fashion,5,33,56556.38,5655,young_spenders
CUST_00115,26,36612,85,1.2,Male,Dallas,Electronics,13,52,28377.04,7378,young_spenders
CUST_00116,28,31699,80,1.1,Male,San Diego,Electronics,12,60,27035.08,6488,young_spenders
CUST_00117,28,35051,77,1.1,Female,Dallas,Entertainment,7,28,40284.31,5639,young_spenders
CUST_00118,30,37074,82,1.8,Other,Philadelphia,Electronics,12,15,16355.1,3925,young_spenders
CUST_00119,27,36306,81,2.0,Other,Chicago,Electronics,10,11,21727.36,4345,young_spenders
CUST_00120,26,40048,85,1.5,Female,San Antonio,Fashion,8,34,17835.9,2853,young_spenders
CUST_00121,27,32014,80,2.0,Male,San Antonio,Electronics,23,3,12728.78,5855,young_spenders
CUST_00122,23,35162,82,1.5,Male,San Jose,Entertainment,13,54,17768.34,4619,young_spenders
CUST_00123,26,37983,81,2.3,Other,New York,Entertainment,21,26,10979.09,4611,young_spenders
CUST_00124,33,34732,87,1.2,Other,San Jose,Fashion,8,6,31524.47,5043,young_spenders
CUST_00125,31,29382,83,1.7,Male,San Antonio,Electronics,9,37,13883.9,2499,young_spenders
CUST_00126,24,36008,80,1.1,Male,New York,Electronics,5,13,33674.79,3367,young_spenders
CUST_00127,27,35684,76,2.1,Female,San Antonio,Electronics,17,6,14773.09,5022,young_spenders
CUST_00128,25,28496,79,1.4,Other,San Jose,Electronics,19,42,12422.18,4720,young_spenders
CUST_00129,31,33999,82,1.9,Female,Phoenix,Electronics,14,8,25083.2,7023,young_spenders
CUST_00130,30,37710,79,1.9,Male,San Antonio,Electronics,15,1,25830.26,7749,young_spenders
CUST_00131,25,29873,77,1.5,Female,Chicago,Electronics,12,61,20280.27,4867,young_spenders
CUST_00132,28,35837,82,1.6,Other,San Diego,Electronics,20,51,16738.34,6695,young_spenders
CUST_00133,29,36072,79,2.2,Female,San Jose,Fashion,10,12,33083.54,6616,young_spenders
CUST_00134,26,32592,93,2.1,Female,Dallas,Fashion,24,91,6575.96,3156,young_spenders
CUST_00135,27,34376,82,2.0,Other,Philadelphia,Fashion,27,17,10642.05,5746,young_spenders
CUST_00136,24,35163,81,1.2,Female,Chicago,Entertainment,9,45,15129.76,2723,young_spenders
CUST_00137,27,35568,83,1.8,Other,Los Angeles,Entertainment,19,22,19963.74,7586,young_spenders
CUST_00138,25,33558,88,1.2,Male,Philadelphia,Fashion,11,5,37682.19,8290,young_spenders
CUST_00139,28,34418,80,1.7,Male,San Jose,Electronics,11,7,25848.64,5686,young_spenders
CUST_00140,26,31018,84,1.2,Male,San Jose,Electronics,11,9,18270.03,4019,young_spenders
CUST_00141,27,32050,81,2.5,Male,New York,Fashion,18,66,20787.89,7483,young_spenders
CUST_00142,28,34340,80,1.7,Male,New York,Entertainment,13,17,22100.49,5746,young_spenders
CUST_00143,25,35208,82,2.5,Other,San Diego,Fashion,23,2,13444.75,6184,young_spenders
CUST_00144,27,30509,78,2.3,Male,Phoenix,Electronics,20,5,9553.69,3821,young_spenders
CUST_00145,26,34517,86,1.8,Other,Los Angeles,Electronics,19,96,14632.94,5560,young_spenders
CUST_00146,28,32854,86,1.8,Female,San Jose,Entertainment,16,50,19081.95,6106,young_spenders
CUST_00147,28,31972,81,1.4,Other,New York,Fashion,12,79,18269.8,4384,young_spenders
CUST_00148,26,37868,80,1.7,Female,San Antonio,Entertainment,17,55,19330.93,6572,young_spenders
CUST_00149,26,36676,83,1.8,Other,Los Angeles,Entertainment,22,38,13445.11,5915,young_spenders
CUST_00150,28,31013,82,1.3,Female,Chicago,Entertainment,13,28,9159.28,2381,young_spenders
CUST_00151,44,64723,57,5.7,Other,Dallas,Groceries,26,48,13299.51,6915,established_savers
CUST_00152,40,66928,54,6.5,Female,San Jose,Groceries,33,22,14057.34,9277,established_savers
CUST_00153,38,56046,50,4.2,Male,Philadelphia,Home,19,26,17355.34,6595,established_savers
CUST_00154,43,60072,47,6.0,Female,San Antonio,Groceries,28,3,9309.46,5213,established_savers
CUST_00155,48,60523,51,5.1,Female,Philadelphia,Home,23,41,15252.56,7016,established_savers
CUST_00156,40,63015,58,3.9,Male,Dallas,Groceries,20,2,17212.65,6885,established_savers
CUST_00157,39,73315,57,5.6,Male,Dallas,Home,24,25,15468.02,7424,established_savers
CUST_00158,45,66688,59,6.7,Other,San Jose,Health,51,1,9415.77,9604,established_savers
CUST_00159,40,49528,41,4.2,Other,New York,Home,25,70,6936.47,3468,established_savers
CUST_00160,42,59791,51,5.7,Female,Philadelphia,Health,29,9,9964.9,5779,established_savers
CUST_00161,43,61210,48,4.1,Female,Dallas,Home,23,1,10758.18,4948,established_savers
CUST_00162,42,48358,56,5.7,Female,Dallas,Home,43,16,5766.26,4958,established_savers
CUST_00163,39,65807,46,7.4,Other,Philadelphia,Health,31,8,8514.74,5279,established_savers
CUST_00164,41,64684,52,4.5,Female,Philadelphia,Groceries,24,23,8142.8,3908,established_savers
CUST_00165,39,45458,54,5.9,Female,San Jose,Health,31,1,9389.32,5821,established_savers
CUST_00166,47,58731,49,4.5,Male,Philadelphia,Groceries,26,6,7902.95,4109,established_savers
CUST_00167,41,53381,56,4.9,Female,Chicago,Home,28,51,11633.06,6514,established_savers
CUST_00168,40,51820,53,5.4,Female,San Diego,Groceries,31,15,12496.63,7747,established_savers
CUST_00169,43,57562,49,6.0,Female,Philadelphia,Health,23,17,8749.35,4024,established_savers
CUST_00170,43,63617,53,5.5,Female,San Jose,Health,32,5,10554.93,6755,established_savers
CUST_00171,40,64620,49,5.3,Male,Los Angeles,Health,21,3,17266.3,7251,established_savers
CUST_00172,41,54753,57,5.7,Female,New York,Home,40,8,6475.22,5180,established_savers
CUST_00173,44,61514,49,5.6,Female,Chicago,Home,29,49,15328.16,8890,established_savers
CUST_00174,43,64672,49,6.2,Male,San Diego,Health,20,58,10514.28,4205,established_savers
CUST_00175,44,54648,53,6.9,Other,Dallas,Health,33,61,10129.94,6685,established_savers
CUST_00176,42,67512,53,3.4,Other,Houston,Home,14,4,14608.78,4090,established_savers
CUST_00177,41,64959,50,5.8,Other,Houston,Groceries,38,9,10825.92,8227,established_savers
CUST_00178,41,60281,51,4.9,Male,Dallas,Health,22,2,13057.71,5745,established_savers
CUST_00179,44,72478,52,4.8,Male,Chicago,Home,30,1,12826.87,7696,established_savers
CUST_00180,45,63559,59,3.9,Male,Chicago,Groceries,21,5,17268.1,7252,established_savers
CUST_00181,46,66829,52,3.4,Female,San Antonio,Home,11,90,52167.15,11476,established_savers
CUST_00182,42,75863,52,4.9,Other,San Jose,Home,23,1,16203.03,7453,established_savers
CUST_00183,38,47373,50,7.3,Male,San Diego,Health,35,57,8722.05,6105,established_savers
CUST_00184,48,59671,55,2.6,Male,Dallas,Home,11,1,16936.43,3726,established_savers
CUST_00185,44,59144,56,5.1,Other,New York,Health,30,17,10067.99,6040,established_savers
CUST_00186,42,67349,51,5.8,Female,Phoenix,Home,26,93,19279.75,10025,established_savers
CUST_00187,41,63356,59,5.9,Male,New York,Groceries,26,3,5095.98,2649,established_savers
CUST_00188,40,69117,49,6.8,Female,Los Angeles,Health,36,27,6401.34,4608,established_savers
CUST_00189,43,66927,54,5.6,Male,Dallas,Groceries,23,4,15988.36,7354,established_savers
CUST_00190,40,48194,58,4.8,Male,San Antonio,Home,36,7,5974.03,4301,established_savers
CUST_00191,42,58721,51,6.1,Other,Chicago,Health,21,7,15383.26,6460,established_savers
CUST_00192,45,60405,53,4.7,Male,San Antonio,Home,23,21,13606.6,6259,established_savers
CUST_00193,41,67048,57,6.4,Male,San Diego,Groceries,34,33,5563.64,3783,established_savers
CUST_00194,40,64085,57,4.1,Female,Philadelphia,Health,24,3,15867.93,7616,established_savers
CUST_00195,39,60389,44,4.6,Female,Dallas,Home,27,65,9565.32,5165,established_savers
CUST_00196,43,63677,49,5.0,Other,Chicago,Health,25,8,13968.06,6984,established_savers
CUST_00197,39,57405,47,4.1,Other,Los Angeles,Health,31,4,11213.61,6952,established_savers
CUST_00198,37,66181,49,4.1,Other,Phoenix,Home,18,18,23748.48,8549,established_savers
CUST_00199,49,53732,53,5.5,Male,San Diego,Home,30,3,10369.92,6221,established_savers
CUST_00200,41,61773,47,5.0,Female,New York,Groceries,30,14,10811.59,6486,established_savers
CUST_00201,41,70517,43,8.1,Other,Houston,Health,36,52,8284.15,5964,established_savers
CUST_00202,43,69300,51,4.9,Female,Philadelphia,Home,25,78,18393.49,9196,established_savers
CUST_00203,48,65183,57,5.5,Female,San Diego,Groceries,28,139,19029.38,10656,established_savers
CUST_00204,42,59375,56,5.5,Male,New York,Health,24,43,16828.62,8077,established_savers
CUST_00205,40,63735,49,5.0,Male,Los Angeles,Home,23,3,12800.09,5888,established_savers
CUST_00206,41,62676,55,4.5,Female,Los Angeles,Groceries,25,36,12880.97,6440,established_savers
CUST_00207,38,58050,49,4.1,Male,Phoenix,Home,19,7,13782.79,5237,established_savers
CUST_00208,37,52857,57,4.1,Female,Houston,Groceries,30,17,11052.25,6631,established_savers
CUST_00209,43,59632,55,4.0,Other,Los Angeles,Groceries,23,9,15938.56,7331,established_savers
CUST_00210,41,65744,55,4.3,Female,Philadelphia,Groceries,16,45,12169.58,3894,established_savers
CUST_00211,42,67759,43,4.6,Female,Chicago,Home,29,60,10604.34,6150,established_savers
CUST_00212,39,51535,47,5.2,Other,Dallas,Health,17,24,16215.92,5513,established_savers
CUST_00213,44,69710,52,5.2,Male,Philadelphia,Health,24,1,17893.98,8589,established_savers
CUST_00214,45,45976,52,3.6,Male,Los Angeles,Home,17,1,13179.57,4481,established_savers
CUST_00215,43,64252,55,3.9,Female,Dallas,Health,21,28,20212.74,8489,established_savers
CUST_00216,39,64670,50,4.7,Male,Dallas,Home,25,1,20557.41,10278,established_savers
CUST_00217,42,56653,55,4.5,Other,Philadelphia,Home,22,20,13191.93,5804,established_savers
CUST_00218,40,61013,54,5.6,Other,New York,Groceries,17,43,21516.66,7315,established_savers
CUST_00219,43,68904,51,4.3,Other,San Jose,Health,20,12,7619.5,3047,established_savers
CUST_00220,40,55271,46,5.2,Male,San Antonio,Home,30,68,8604.27,5162,established_savers
CUST_00221,40,58613,53,5.1,Male,San Antonio,Home,29,26,11266.68,6534,established_savers
CUST_00222,41,74904,54,5.8,Other,San Jose,Home,36,38,17914.87,12898,established_savers
CUST_00223,45,65753,47,5.2,Male,Houston,Groceries,29,9,15709.44,9111,established_savers
CUST_00224,39,60965,44,5.3,Male,San Diego,Groceries,14,0,22723.84,6362,established_savers
CUST_00225,38,58303,49,6.3,Female,San Diego,Home,35,24,7745.7,5421,established_savers
CUST_00226,39,59996,54,3.4,Female,Los Angeles,Groceries,17,2,21699.92,7377,established_savers
CUST_00227,40,70182,49,6.6,Other,San Antonio,Home,30,7,8955.82,5373,established_savers
CUST_00228,45,63854,47,5.0,Other,Phoenix,Groceries,21,7,20989.05,8815,established_savers
CUST_00229,44,59862,50,5.3,Male,Philadelphia,Health,25,3,19514.01,9757,established_savers
CUST_00230,41,54659,45,5.2,Female,Houston,Home,34,13,7560.7,5141,established_savers
CUST_00231,37,67706,47,5.7,Male,San Diego,Health,19,90,14703.17,5587,established_savers
CUST_00232,44,51857,49,4.8,Male,Phoenix,Groceries,22,56,12150.59,5346,established_savers
CUST_00233,42,71315,46,5.0,Male,Houston,Groceries,24,6,17305.49,8306,established_savers
CUST_00234,41,62564,55,6.3,Female,Houston,Health,41,35,7464.17,6120,established_savers
CUST_00235,35,69778,51,5.7,Male,San Jose,Health,30,13,9549.75,5729,established_savers
CUST_00236,42,68304,51,6.1,Female,Los Angeles,Groceries,33,42,7682.94,5070,established_savers
CUST_00237,45,56776,50,5.5,Male,San Antonio,Health,25,26,9319.75,4659,established_savers
CUST_00238,46,63277,45,5.8,Other,Dallas,Health,26,89,6367.37,3311,established_savers
CUST_00239,41,63959,60,8.1,Other,Philadelphia,Home,46,37,9680.21,8905,established_savers
CUST_00240,44,60062,56,4.6,Male,San Antonio,Home,28,3,10355.66,5799,established_savers
CUST_00241,42,51036,42,5.1,Male,Los Angeles,Home,29,47,6506.33,3773,established_savers
CUST_00242,43,63268,48,6.9,Male,Philadelphia,Home,34,16,8958.56,6091,established_savers
CUST_00243,42,63841,56,6.5,Other,Chicago,Groceries,33,11,8291.98,5472,established_savers
CUST_00244,42,62906,49,4.0,Male,Phoenix,Groceries,18,12,11464.14,4127,established_savers
CUST_00245,40,55044,51,4.4,Female,San Antonio,Health,25,120,9534.25,4767,established_savers
CUST_00246,39,64039,50,5.5,Female,Dallas,Home,46,23,9749.92,8969,established_savers
CUST_00247,43,54989,52,3.6,Female,Philadelphia,Groceries,11,29,39296.15,8645,established_savers
CUST_00248,42,64166,48,4.9,Female,Phoenix,Groceries,26,2,9276.31,4823,established_savers
CUST_00249,40,70987,45,7.1,Male,Chicago,Groceries,35,0,4615.11,3230,established_savers
CUST_00250,42,75072,48,3.6,Other,New York,Groceries,16,23,32185.71,10299,established_savers
CUST_00251,45,60551,54,4.0,Other,Phoenix,Health,38,2,8543.82,6493,established_savers
CUST_00252,42,64543,53,5.1,Female,Houston,Home,22,33,21830.79,9605,established_savers
CUST_00253,43,65812,49,4.1,Other,Los Angeles,Groceries,16,27,30464.25,9748,established_savers
CUST_00254,41,65414,54,5.1,Other,San Diego,Health,22,40,19633.55,8638,established_savers
CUST_00255,41,71073,54,4.4,Female,San Jose,Groceries,21,30,23755.01,9977,established_savers
CUST_00256,41,65640,53,4.5,Other,New York,Health,24,20,6783.15,3255,established_savers
CUST_00257,44,61574,52,4.0,Male,Houston,Health,24,49,12504.84,6002,established_savers
CUST_00258,45,79703,57,3.6,Other,Phoenix,Groceries,25,11,10962.66,5481,established_savers
CUST_00259,42,49554,51,4.1,Male,San Antonio,Health,22,33,12753.95,5611,established_savers
CUST_00260,41,61258,52,4.6,Other,New York,Health,23,14,6220.53,2861,established_savers
CUST_00261,42,72677,51,5.4,Female,San Antonio,Health,25,28,15296.46,7648,established_savers
CUST_00262,38,57743,48,6.2,Other,San Jose,Health,28,61,7553.0,4229,established_savers
CUST_00263,40,66280,54,3.0,Male,San Antonio,Groceries,17,20,21894.64,7444,established_savers
CUST_00264,43,56565,52,5.7,Other,Chicago,Health,34,58,11528.8,7839,established_savers
CUST_00265,41,64623,55,5.4,Male,Chicago,Health,34,62,9748.62,6629,established_savers
CUST_00266,46,64053,44,6.3,Female,Dallas,Groceries,26,0,10982.41,5710,established_savers
CUST_00267,42,62838,56,2.8,Male,Philadelphia,Health,27,14,10660.92,5756,established_savers
CUST_00268,43,62109,50,5.2,Other,San Jose,Health,28,14,10148.39,5683,established_savers
CUST_00269,44,55863,51,5.0,Female,San Jose,Home,30,43,7405.04,4443,established_savers
CUST_00270,42,49868,53,6.1,Other,Philadelphia,Home,36,32,9044.77,6512,established_savers
CUST_00271,41,58478,47,7.0,Other,Dallas,Home,34,37,6268.09,4262,established_savers
CUST_00272,38,60338,46,5.0,Other,San Jose,Health,18,35,19593.57,7053,established_savers
CUST_00273,45,65981,56,3.9,Male,Houston,Health,24,35,11620.26,5577,established_savers
CUST_00274,40,67447,47,5.6,Male,Houston,Home,31,2,12145.12,7529,established_savers
CUST_00275,41,62112,51,5.5,Other,San Diego,Health,29,68,6874.99,3987,established_savers
CUST_00276,47,114467,88,8.2,Other,San Jose,Premium,56,204,9701.26,10865,premium_customers
CUST_00277,42,103282,92,6.6,Female,San Diego,Travel,62,0,9802.47,12155,premium_customers
CUST_00278,45,96243,92,7.6,Male,Chicago,Premium,68,14,8689.0,11817,premium_customers
CUST_00279,39,115448,94,10.3,Male,Chicago,Luxury,110,30,13979.36,30754,premium_customers
CUST_00280,36,118340,91,6.6,Female,San Diego,Premium,59,33,18928.95,22336,premium_customers
CUST_00281,43,118698,88,6.8,Male,San Diego,Travel,86,49,18006.41,30971,premium_customers
CUST_00282,43,136494,85,7.0,Female,Houston,Travel,62,54,20634.73,25587,premium_customers
CUST_00283,43,119569,92,7.9,Male,San Diego,Travel,76,27,12653.37,19233,premium_customers
CUST_00284,43,112600,84,5.8,Other,Dallas,Premium,42,10,26727.04,22450,premium_customers
CUST_00285,39,101512,91,9.9,Male,San Antonio,Luxury,93,12,8609.37,16013,premium_customers
CUST_00286,43,119732,88,8.2,Other,Houston,Travel,80,5,5878.35,9405,premium_customers
