campaign_id,customer_id,campaign_name,channel,campaign_date,responded,converted,response_rate,conversion_rate,campaign_cost,campaign_revenue,roi,click_through_rate,engagement_score,time_spent_seconds
CAMP_00019,CUST_00226,New_Year_2024,Direct Mail,2025-03-01,False,False,0.0684,0.0,0.8,0.0,-100.0,,21.5,0
CAMP_00020,CUST_00271,Summer_Sale_2024,Social Media,2025-02-23,False,False,0.0829,0.0,2.0,0.0,-100.0,,32.0,0
CAMP_00021,CUST_00488,Back_to_School_2024,Display Ads,2025-03-02,False,False,0.0964,0.0,1.5,0.0,-100.0,,18.9,0
CAMP_00022,CUST_00274,Valentine_Special_2024,Direct Mail,2025-05-23,False,False,0.0763,0.0,0.8,0.0,-100.0,,63.4,0
CAMP_00023,CUST_00136,Mother_Day_2024,SMS,2025-01-09,False,False,0.0597,0.0,0.05,0.0,-100.0,,63.4,0
CAMP_00024,CUST_00466,Father_Day_2024,Direct Mail,2025-04-23,False,False,0.1181,0.0,0.8,0.0,-100.0,,12.0,0
CAMP_00025,CUST_00467,Spring_Collection_2024,Direct Mail,2025-02-05,False,False,0.105,0.0,0.8,0.0,-100.0,,46.3,0
CAMP_00026,CUST_00184,New_Year_2024,Social Media,2024-09-09,False,False,0.0643,0.0,2.0,0.0,-100.0,,23.3,0
CAMP_00027,CUST_00294,Father_Day_2024,Email,2025-03-23,False,False,0.1404,0.0,0.1,0.0,-100.0,,23.3,0
CAMP_00028,CUST_00459,Flash_Sale_Weekly,SMS,2025-07-31,False,False,0.106,0.0,0.05,0.0,-100.0,,23.3,0
CAMP_00029,CUST_00468,Summer_Sale_2024,Direct Mail,2024-11-11,True,False,0.105,0.0,0.8,0.0,-100.0,0.0228,45.7,37
CAMP_00030,CUST_00285,Valentine_Special_2024,Email,2025-03-13,False,False,0.1401,0.0,0.1,0.0,-100.0,,45.7,0
CAMP_00031,CUST_00213,Flash_Sale_Weekly,Social Media,2025-01-04,False,False,0.077,0.0,2.0,0.0,-100.0,,56.3,0
CAMP_00032,CUST_00329,Independence_Sale_2024,Display Ads,2024-11-15,False,False,0.1002,0.0,1.5,0.0,-100.0,,56.2,0
CAMP_00033,CUST_00413,Independence_Sale_2024,SMS,2025-02-10,False,False,0.0601,0.0,0.05,0.0,-100.0,,56.2,0
CAMP_00034,CUST_00089,Father_Day_2024,Display Ads,2024-10-26,False,False,0.0632,0.0,1.5,0.0,-100.0,,65.8,0
CAMP_00035,CUST_00465,Black_Friday_2024,Search Ads,2025-04-26,False,False,0.0958,0.0,3.0,0.0,-100.0,,87.4,0
CAMP_00036,CUST_00239,New_Year_2024,SMS,2024-09-13,False,False,0.0986,0.0,0.05,0.0,-100.0,,87.4,0
CAMP_00037,CUST_00041,Father_Day_2024,Search Ads,2025-06-30,False,False,0.0683,0.0,3.0,0.0,-100.0,,13.8,0
CAMP_00038,CUST_00435,Holiday_Special_2024,Display Ads,2025-07-08,False,False,0.0587,0.0,1.5,0.0,-100.0,,59.1,0
CAMP_00039,CUST_00372,Summer_Sale_2024,Social Media,2024-09-19,False,False,0.122,0.0,2.0,0.0,-100.0,,26.8,0
CAMP_00040,CUST_00210,Back_to_School_2024,Email,2025-02-17,False,False,0.0737,0.0,0.1,0.0,-100.0,,26.8,0
CAMP_00041,CUST_00052,Flash_Sale_Weekly,Search Ads,2024-11-24,False,False,0.0607,0.0,3.0,0.0,-100.0,,62.8,0
CAMP_00042,CUST_00054,Flash_Sale_Weekly,Direct Mail,2025-05-30,False,False,0.0576,0.0,0.8,0.0,-100.0,,76.8,0
CAMP_00043,CUST_00051,Holiday_Special_2024,Search Ads,2025-02-06,False,False,0.066,0.0,3.0,0.0,-100.0,,57.0,0
CAMP_00044,CUST_00228,New_Year_2024,Email,2024-09-22,False,False,0.0735,0.0,0.1,0.0,-100.0,,57.0,0
CAMP_00045,CUST_00201,Black_Friday_2024,Direct Mail,2025-03-31,False,False,0.0848,0.0,0.8,0.0,-100.0,,54.6,0
CAMP_00046,CUST_00373,Holiday_Special_2024,SMS,2024-10-29,False,False,0.1067,0.0,0.05,0.0,-100.0,,54.6,0
CAMP_00047,CUST_00136,Back_to_School_2024,Search Ads,2024-10-02,False,False,0.0597,0.0,3.0,0.0,-100.0,,83.0,0
CAMP_00048,CUST_00424,Flash_Sale_Weekly,Display Ads,2024-08-10,False,False,0.0587,0.0,1.5,0.0,-100.0,,34.0,0
CAMP_00049,CUST_00482,Independence_Sale_2024,Search Ads,2024-11-14,True,False,0.109,0.0,3.0,0.0,-100.0,0.0322,64.4,17
CAMP_00050,CUST_00484,Spring_Collection_2024,Search Ads,2024-10-06,True,True,0.1029,0.5625,3.0,7785.09,259402.84,0.0179,35.8,70
CAMP_00051,CUST_00273,Black_Friday_2024,Search Ads,2024-09-25,False,False,0.0718,0.0,3.0,0.0,-100.0,,69.9,0
CAMP_00052,CUST_00311,New_Year_2024,Email,2024-10-12,False,False,0.0943,0.0,0.1,0.0,-100.0,,69.9,0
CAMP_00053,CUST_00165,Father_Day_2024,SMS,2025-02-13,False,False,0.0819,0.0,0.05,0.0,-100.0,,69.9,0
CAMP_00054,CUST_00216,Easter_Promotion_2024,Display Ads,2025-03-17,False,False,0.0735,0.0,1.5,0.0,-100.0,,72.5,0
CAMP_00055,CUST_00065,Summer_Sale_2024,Direct Mail,2024-12-15,False,False,0.0686,0.0,0.8,0.0,-100.0,,63.7,0
CAMP_00056,CUST_00240,Easter_Promotion_2024,Search Ads,2025-04-21,False,False,0.0758,0.0,3.0,0.0,-100.0,,20.5,0
CAMP_00057,CUST_00318,Black_Friday_2024,Social Media,2024-08-20,False,False,0.1145,0.0,2.0,0.0,-100.0,,48.7,0
CAMP_00058,CUST_00328,Spring_Collection_2024,SMS,2024-12-13,False,False,0.1042,0.0,0.05,0.0,-100.0,,48.7,0
CAMP_00059,CUST_00042,Summer_Sale_2024,SMS,2024-11-23,False,False,0.0656,0.0,0.05,0.0,-100.0,,48.7,0
CAMP_00060,CUST_00104,Father_Day_2024,Search Ads,2024-08-16,False,False,0.0658,0.0,3.0,0.0,-100.0,,11.0,0
CAMP_00061,CUST_00051,Father_Day_2024,Email,2025-04-25,False,False,0.066,0.0,0.1,0.0,-100.0,,11.0,0
CAMP_00062,CUST_00208,Easter_Promotion_2024,Search Ads,2025-04-23,False,False,0.0734,0.0,3.0,0.0,-100.0,,73.3,0
CAMP_00063,CUST_00277,Valentine_Special_2024,Search Ads,2024-09-30,False,False,0.1107,0.0,3.0,0.0,-100.0,,22.8,0
CAMP_00064,CUST_00244,Flash_Sale_Weekly,Search Ads,2024-08-18,False,False,0.0696,0.0,3.0,0.0,-100.0,,8.2,0
CAMP_00065,CUST_00113,Mother_Day_2024,Display Ads,2025-07-21,False,False,0.0616,0.0,1.5,0.0,-100.0,,25.4,0
CAMP_00066,CUST_00135,Easter_Promotion_2024,Direct Mail,2025-02-28,False,False,0.0664,0.0,0.8,0.0,-100.0,,24.4,0
CAMP_00067,CUST_00286,New_Year_2024,Email,2025-01-16,False,False,0.1222,0.0,0.1,0.0,-100.0,,24.4,0
CAMP_00068,CUST_00027,Summer_Sale_2024,Email,2024-08-17,False,False,0.0614,0.0,0.1,0.0,-100.0,,24.4,0
CAMP_00069,CUST_00131,Easter_Promotion_2024,Direct Mail,2025-02-10,False,False,0.0615,0.0,0.8,0.0,-100.0,,25.9,0
CAMP_00070,CUST_00346,Holiday_Special_2024,Direct Mail,2025-02-28,False,False,0.114,0.0,0.8,0.0,-100.0,,24.0,0
CAMP_00071,CUST_00464,Valentine_Special_2024,SMS,2025-04-28,False,False,0.1301,0.0,0.05,0.0,-100.0,,24.0,0
CAMP_00072,CUST_00154,Spring_Collection_2024,SMS,2025-02-24,False,False,0.0782,0.0,0.05,0.0,-100.0,,24.0,0
CAMP_00073,CUST_00199,New_Year_2024,Email,2024-09-19,False,False,0.0792,0.0,0.1,0.0,-100.0,,24.0,0
CAMP_00074,CUST_00130,Independence_Sale_2024,SMS,2024-11-08,False,False,0.065,0.0,0.05,0.0,-100.0,,24.0,0
CAMP_00075,CUST_00145,Summer_Sale_2024,Direct Mail,2025-06-19,False,False,0.0655,0.0,0.8,0.0,-100.0,,49.2,0
CAMP_00076,CUST_00007,Easter_Promotion_2024,Display Ads,2024-10-13,False,False,0.0653,0.0,1.5,0.0,-100.0,,15.9,0
CAMP_00077,CUST_00025,Independence_Sale_2024,Social Media,2025-04-10,False,False,0.0633,0.0,2.0,0.0,-100.0,,18.4,0
CAMP_00078,CUST_00364,Mother_Day_2024,Email,2025-06-18,False,False,0.1445,0.0,0.1,0.0,-100.0,,18.4,0
CAMP_00079,CUST_00494,Black_Friday_2024,Search Ads,2024-08-30,False,False,0.097,0.0,3.0,0.0,-100.0,,14.4,0
CAMP_00080,CUST_00260,Independence_Sale_2024,Display Ads,2025-06-30,False,False,0.0739,0.0,1.5,0.0,-100.0,,71.0,0
CAMP_00081,CUST_00489,Mother_Day_2024,Direct Mail,2024-12-10,False,False,0.1008,0.0,0.8,0.0,-100.0,,27.9,0
CAMP_00082,CUST_00326,Mother_Day_2024,Direct Mail,2025-06-28,False,False,0.0987,0.0,0.8,0.0,-100.0,,85.9,0
CAMP_00083,CUST_00187,Independence_Sale_2024,Search Ads,2025-04-22,True,False,0.0848,0.0,3.0,0.0,-100.0,0.0102,20.3,19
CAMP_00084,CUST_00414,Mother_Day_2024,Social Media,2024-08-26,False,False,0.0616,0.0,2.0,0.0,-100.0,,55.5,0
CAMP_00085,CUST_00480,New_Year_2024,Search Ads,2025-02-07,False,False,0.0877,0.0,3.0,0.0,-100.0,,18.2,0
CAMP_00086,CUST_00276,Father_Day_2024,Search Ads,2025-06-06,False,False,0.1222,0.0,3.0,0.0,-100.0,,24.2,0
CAMP_00087,CUST_00234,Independence_Sale_2024,Direct Mail,2024-11-29,False,False,0.0846,0.0,0.8,0.0,-100.0,,31.8,0
CAMP_00088,CUST_00187,Independence_Sale_2024,Email,2025-05-03,False,False,0.0848,0.0,0.1,0.0,-100.0,,31.8,0
CAMP_00089,CUST_00207,Spring_Collection_2024,Search Ads,2024-08-15,False,False,0.0701,0.0,3.0,0.0,-100.0,,34.7,0
CAMP_00090,CUST_00454,Spring_Collection_2024,Email,2025-04-09,False,False,0.1207,0.0,0.1,0.0,-100.0,,34.7,0
CAMP_00091,CUST_00143,Holiday_Special_2024,Email,2024-08-11,False,False,0.0705,0.0,0.1,0.0,-100.0,,34.7,0
CAMP_00092,CUST_00089,Black_Friday_2024,Direct Mail,2025-06-20,False,False,0.0632,0.0,0.8,0.0,-100.0,,86.0,0
CAMP_00093,CUST_00205,Spring_Collection_2024,Display Ads,2025-01-15,False,False,0.0745,0.0,1.5,0.0,-100.0,,35.4,0
CAMP_00094,CUST_00401,Holiday_Special_2024,Display Ads,2025-05-22,False,False,0.0623,0.0,1.5,0.0,-100.0,,64.1,0
CAMP_00095,CUST_00461,Easter_Promotion_2024,SMS,2024-08-30,False,False,0.1126,0.0,0.05,0.0,-100.0,,64.1,0
CAMP_00096,CUST_00236,Independence_Sale_2024,Social Media,2024-11-02,False,False,0.0811,0.0,2.0,0.0,-100.0,,22.1,0
CAMP_00097,CUST_00153,Mother_Day_2024,Direct Mail,2024-11-22,False,False,0.071,0.0,0.8,0.0,-100.0,,19.3,0
CAMP_00098,CUST_00002,Black_Friday_2024,Direct Mail,2024-12-25,False,False,0.062,0.0,0.8,0.0,-100.0,,31.8,0
CAMP_00099,CUST_00167,Flash_Sale_Weekly,Direct Mail,2025-02-23,False,False,0.0774,0.0,0.8,0.0,-100.0,,77.3,0
CAMP_00100,CUST_00235,New_Year_2024,Display Ads,2025-06-16,False,False,0.0791,0.0,1.5,0.0,-100.0,,60.2,0
CAMP_00101,CUST_00229,Independence_Sale_2024,SMS,2025-04-28,False,False,0.0765,0.0,0.05,0.0,-100.0,,60.2,0
CAMP_00102,CUST_00408,Flash_Sale_Weekly,Display Ads,2025-05-06,False,False,0.0575,0.0,1.5,0.0,-100.0,,23.7,0
CAMP_00103,CUST_00388,Valentine_Special_2024,SMS,2025-02-13,False,False,0.0634,0.0,0.05,0.0,-100.0,,23.7,0
CAMP_00104,CUST_00458,Flash_Sale_Weekly,Social Media,2024-12-02,False,False,0.0914,0.0,2.0,0.0,-100.0,,10.5,0
CAMP_00105,CUST_00264,Spring_Collection_2024,Display Ads,2025-05-16,False,False,0.0796,0.0,1.5,0.0,-100.0,,66.5,0
CAMP_00106,CUST_00474,Spring_Collection_2024,SMS,2024-08-09,False,False,0.1269,0.0,0.05,0.0,-100.0,,66.5,0
CAMP_00107,CUST_00074,Valentine_Special_2024,Direct Mail,2024-10-28,False,False,0.0651,0.0,0.8,0.0,-100.0,,28.3,0
CAMP_00108,CUST_00127,Mother_Day_2024,Direct Mail,2025-05-04,False,False,0.066,0.0,0.8,0.0,-100.0,,51.2,0
CAMP_00109,CUST_00038,Father_Day_2024,SMS,2025-05-08,False,False,0.0557,0.0,0.05,0.0,-100.0,,51.2,0
CAMP_00110,CUST_00444,Spring_Collection_2024,Search Ads,2025-06-03,False,False,0.0612,0.0,3.0,0.0,-100.0,,35.7,0
CAMP_00111,CUST_00168,Valentine_Special_2024,Search Ads,2025-04-04,True,False,0.0786,0.0,3.0,0.0,-100.0,0.0106,21.2,188
CAMP_00112,CUST_00193,Independence_Sale_2024,Email,2024-09-09,True,False,0.0865,0.0,0.1,0.0,-100.0,0.0259,21.2,10
CAMP_00113,CUST_00173,Valentine_Special_2024,Email,2025-02-10,False,False,0.0774,0.0,0.1,0.0,-100.0,,21.2,0
CAMP_00114,CUST_00359,Summer_Sale_2024,Social Media,2024-10-08,False,False,0.124,0.0,2.0,0.0,-100.0,,63.8,0
CAMP_00115,CUST_00300,Back_to_School_2024,Search Ads,2025-05-27,True,False,0.1021,0.0,3.0,0.0,-100.0,0.0061,12.3,8
CAMP_00116,CUST_00041,Back_to_School_2024,Email,2025-04-07,False,False,0.0683,0.0,0.1,0.0,-100.0,,12.3,0
CAMP_00117,CUST_00344,Holiday_Special_2024,Direct Mail,2024-10-28,False,False,0.1039,0.0,0.8,0.0,-100.0,,10.8,0
CAMP_00118,CUST_00228,New_Year_2024,Search Ads,2024-11-12,False,False,0.0735,0.0,3.0,0.0,-100.0,,67.6,0
CAMP_00119,CUST_00167,Valentine_Special_2024,Direct Mail,2024-08-27,False,False,0.0774,0.0,0.8,0.0,-100.0,,16.2,0
CAMP_00120,CUST_00323,Holiday_Special_2024,Display Ads,2025-04-08,False,False,0.1017,0.0,1.5,0.0,-100.0,,50.8,0
CAMP_00121,CUST_00017,Holiday_Special_2024,Search Ads,2024-11-27,False,False,0.0641,0.0,3.0,0.0,-100.0,,61.7,0
CAMP_00122,CUST_00072,Back_to_School_2024,Display Ads,2024-10-21,False,False,0.0634,0.0,1.5,0.0,-100.0,,43.0,0
CAMP_00123,CUST_00241,Valentine_Special_2024,Display Ads,2025-03-02,False,False,0.0714,0.0,1.5,0.0,-100.0,,44.4,0
CAMP_00124,CUST_00112,Back_to_School_2024,Social Media,2025-01-13,False,False,0.0673,0.0,2.0,0.0,-100.0,,34.2,0
CAMP_00125,CUST_00257,Flash_Sale_Weekly,SMS,2024-09-27,False,False,0.0708,0.0,0.05,0.0,-100.0,,34.2,0
CAMP_00126,CUST_00031,Back_to_School_2024,SMS,2025-07-23,False,False,0.0624,0.0,0.05,0.0,-100.0,,34.2,0
CAMP_00127,CUST_00089,Valentine_Special_2024,Social Media,2025-07-27,False,False,0.0632,0.0,2.0,0.0,-100.0,,55.4,0
CAMP_00128,CUST_00421,Mother_Day_2024,SMS,2025-07-31,False,False,0.0608,0.0,0.05,0.0,-100.0,,55.4,0
CAMP_00129,CUST_00103,Flash_Sale_Weekly,Direct Mail,2025-06-03,False,False,0.0611,0.0,0.8,0.0,-100.0,,42.9,0
CAMP_00130,CUST_00238,Easter_Promotion_2024,SMS,2024-09-11,False,False,0.0761,0.0,0.05,0.0,-100.0,,42.9,0
CAMP_00131,CUST_00233,Holiday_Special_2024,Social Media,2025-03-08,False,False,0.073,0.0,2.0,0.0,-100.0,,5.4,0
CAMP_00132,CUST_00283,Mother_Day_2024,Social Media,2025-04-09,False,False,0.1227,0.0,2.0,0.0,-100.0,,20.0,0
CAMP_00133,CUST_00218,Easter_Promotion_2024,Email,2024-09-11,False,False,0.0802,0.0,0.1,0.0,-100.0,,20.0,0
CAMP_00134,CUST_00046,Flash_Sale_Weekly,Search Ads,2025-02-19,False,False,0.0685,0.0,3.0,0.0,-100.0,,53.0,0
CAMP_00135,CUST_00370,Summer_Sale_2024,Search Ads,2025-08-04,False,False,0.1282,0.0,3.0,0.0,-100.0,,37.9,0
CAMP_00136,CUST_00093,Easter_Promotion_2024,Display Ads,2025-06-01,False,False,0.0658,0.0,1.5,0.0,-100.0,,5.7,0
CAMP_00137,CUST_00071,Summer_Sale_2024,Search Ads,2024-11-09,False,False,0.0611,0.0,3.0,0.0,-100.0,,34.0,0
CAMP_00138,CUST_00442,Flash_Sale_Weekly,Search Ads,2025-03-18,False,False,0.0596,0.0,3.0,0.0,-100.0,,63.7,0
CAMP_00139,CUST_00376,Summer_Sale_2024,Direct Mail,2025-04-28,False,False,0.0599,0.0,0.8,0.0,-100.0,,22.7,0
CAMP_00140,CUST_00241,Father_Day_2024,Display Ads,2025-05-31,False,False,0.0714,0.0,1.5,0.0,-100.0,,32.9,0
CAMP_00141,CUST_00320,Spring_Collection_2024,Email,2025-07-16,False,False,0.0844,0.0,0.1,0.0,-100.0,,32.9,0
CAMP_00142,CUST_00325,Black_Friday_2024,Social Media,2024-12-22,True,False,0.1018,0.0,2.0,0.0,-100.0,0.037,37.0,36
CAMP_00143,CUST_00422,Spring_Collection_2024,Search Ads,2024-08-19,False,False,0.0562,0.0,3.0,0.0,-100.0,,47.7,0
CAMP_00144,CUST_00471,Flash_Sale_Weekly,SMS,2024-11-04,False,False,0.1175,0.0,0.05,0.0,-100.0,,47.7,0
CAMP_00145,CUST_00398,Summer_Sale_2024,Email,2025-04-17,False,False,0.0599,0.0,0.1,0.0,-100.0,,47.7,0
CAMP_00146,CUST_00195,Back_to_School_2024,Social Media,2024-10-14,True,False,0.0702,0.0,2.0,0.0,-100.0,0.0282,28.2,78
CAMP_00147,CUST_00044,Back_to_School_2024,Display Ads,2025-03-31,False,False,0.0685,0.0,1.5,0.0,-100.0,,23.1,0
CAMP_00148,CUST_00184,Black_Friday_2024,Direct Mail,2024-08-17,False,False,0.0643,0.0,0.8,0.0,-100.0,,53.9,0
CAMP_00149,CUST_00055,Flash_Sale_Weekly,Social Media,2025-08-03,False,False,0.0651,0.0,2.0,0.0,-100.0,,30.0,0
CAMP_00150,CUST_00365,Easter_Promotion_2024,Email,2025-02-19,False,False,0.1412,0.0,0.1,0.0,-100.0,,30.0,0
CAMP_00151,CUST_00135,Summer_Sale_2024,Display Ads,2025-05-03,False,False,0.0664,0.0,1.5,0.0,-100.0,,42.1,0
CAMP_00152,CUST_00050,Mother_Day_2024,Email,2024-08-26,False,False,0.0611,0.0,0.1,0.0,-100.0,,42.1,0
CAMP_00153,CUST_00272,Valentine_Special_2024,Email,2024-09-10,False,False,0.073,0.0,0.1,0.0,-100.0,,42.1,0
CAMP_00154,CUST_00424,Valentine_Special_2024,Email,2024-10-06,False,False,0.0587,0.0,0.1,0.0,-100.0,,42.1,0
CAMP_00155,CUST_00062,Back_to_School_2024,Display Ads,2025-03-28,False,False,0.0644,0.0,1.5,0.0,-100.0,,49.8,0
CAMP_00156,CUST_00065,Flash_Sale_Weekly,Email,2025-01-21,False,False,0.0686,0.0,0.1,0.0,-100.0,,49.8,0
CAMP_00157,CUST_00031,Holiday_Special_2024,SMS,2025-03-06,False,False,0.0624,0.0,0.05,0.0,-100.0,,49.8,0
CAMP_00158,CUST_00434,New_Year_2024,Search Ads,2025-06-27,False,False,0.0578,0.0,3.0,0.0,-100.0,,52.1,0
CAMP_00159,CUST_00245,Father_Day_2024,Direct Mail,2024-12-06,True,False,0.0724,0.0,0.8,0.0,-100.0,0.0165,33.0,13
CAMP_00160,CUST_00472,Easter_Promotion_2024,Display Ads,2024-09-04,False,False,0.1086,0.0,1.5,0.0,-100.0,,53.5,0
CAMP_00161,CUST_00121,Father_Day_2024,Search Ads,2024-10-28,True,False,0.066,0.0,3.0,0.0,-100.0,0.0219,43.8,139
CAMP_00162,CUST_00190,Flash_Sale_Weekly,Display Ads,2024-12-14,False,False,0.0778,0.0,1.5,0.0,-100.0,,34.5,0
CAMP_00163,CUST_00410,Black_Friday_2024,Display Ads,2025-07-14,False,False,0.0609,0.0,1.5,0.0,-100.0,,34.4,0
CAMP_00164,CUST_00250,Holiday_Special_2024,Email,2025-05-27,False,False,0.0673,0.0,0.1,0.0,-100.0,,34.4,0
CAMP_00165,CUST_00110,Spring_Collection_2024,SMS,2024-11-21,False,False,0.0688,0.0,0.05,0.0,-100.0,,34.4,0
CAMP_00166,CUST_00255,Spring_Collection_2024,Search Ads,2024-11-26,False,False,0.0738,0.0,3.0,0.0,-100.0,,76.6,0
CAMP_00167,CUST_00209,Independence_Sale_2024,Display Ads,2025-02-11,False,False,0.072,0.0,1.5,0.0,-100.0,,6.8,0
CAMP_00168,CUST_00058,Back_to_School_2024,SMS,2024-10-01,False,False,0.0642,0.0,0.05,0.0,-100.0,,6.8,0
CAMP_00169,CUST_00277,Flash_Sale_Weekly,Direct Mail,2025-02-26,False,False,0.1107,0.0,0.8,0.0,-100.0,,42.7,0
CAMP_00170,CUST_00240,Holiday_Special_2024,Social Media,2024-09-12,False,False,0.0758,0.0,2.0,0.0,-100.0,,18.5,0
CAMP_00171,CUST_00298,Spring_Collection_2024,Direct Mail,2025-03-25,False,False,0.0947,0.0,0.8,0.0,-100.0,,26.6,0
CAMP_00172,CUST_00385,Spring_Collection_2024,SMS,2024-12-24,False,False,0.0593,0.0,0.05,0.0,-100.0,,26.6,0
CAMP_00173,CUST_00413,New_Year_2024,Direct Mail,2025-05-05,False,False,0.0601,0.0,0.8,0.0,-100.0,,40.2,0
CAMP_00174,CUST_00152,Valentine_Special_2024,Search Ads,2024-12-31,False,False,0.0851,0.0,3.0,0.0,-100.0,,43.5,0
CAMP_00175,CUST_00382,New_Year_2024,Search Ads,2025-03-29,False,False,0.0573,0.0,3.0,0.0,-100.0,,4.5,0
CAMP_00176,CUST_00145,Black_Friday_2024,Email,2025-01-29,False,False,0.0655,0.0,0.1,0.0,-100.0,,4.5,0
CAMP_00177,CUST_00220,New_Year_2024,Display Ads,2025-08-01,False,False,0.0739,0.0,1.5,0.0,-100.0,,55.0,0
CAMP_00178,CUST_00148,Black_Friday_2024,Search Ads,2024-10-16,False,False,0.0636,0.0,3.0,0.0,-100.0,,31.4,0
CAMP_00179,CUST_00287,Holiday_Special_2024,Email,2025-07-12,False,False,0.1111,0.0,0.1,0.0,-100.0,,31.4,0
CAMP_00180,CUST_00487,Back_to_School_2024,Social Media,2024-09-18,False,False,0.0913,0.0,2.0,0.0,-100.0,,14.3,0
CAMP_00181,CUST_00067,Valentine_Special_2024,SMS,2024-10-23,False,False,0.0644,0.0,0.05,0.0,-100.0,,14.3,0
CAMP_00182,CUST_00376,Mother_Day_2024,Direct Mail,2025-01-07,False,False,0.0599,0.0,0.8,0.0,-100.0,,56.8,0
CAMP_00183,CUST_00131,Summer_Sale_2024,Direct Mail,2025-01-20,False,False,0.0615,0.0,0.8,0.0,-100.0,,22.0,0
CAMP_00184,CUST_00384,Black_Friday_2024,Search Ads,2025-01-04,False,False,0.0578,0.0,3.0,0.0,-100.0,,52.6,0
CAMP_00185,CUST_00355,Black_Friday_2024,Direct Mail,2025-07-23,False,False,0.1345,0.0,0.8,0.0,-100.0,,21.8,0
CAMP_00186,CUST_00189,Holiday_Special_2024,Display Ads,2024-10-11,False,False,0.0802,0.0,1.5,0.0,-100.0,,14.2,0
CAMP_00187,CUST_00441,Father_Day_2024,Display Ads,2024-12-11,False,False,0.0593,0.0,1.5,0.0,-100.0,,65.5,0
CAMP_00188,CUST_00356,New_Year_2024,Direct Mail,2025-06-20,False,False,0.1412,0.0,0.8,0.0,-100.0,,9.8,0
CAMP_00189,CUST_00382,Spring_Collection_2024,Direct Mail,2025-05-31,False,False,0.0573,0.0,0.8,0.0,-100.0,,27.4,0
CAMP_00190,CUST_00415,Black_Friday_2024,Email,2025-05-27,False,False,0.0627,0.0,0.1,0.0,-100.0,,27.4,0
CAMP_00191,CUST_00358,Spring_Collection_2024,Email,2024-12-07,False,False,0.1066,0.0,0.1,0.0,-100.0,,27.4,0
CAMP_00192,CUST_00336,Independence_Sale_2024,Email,2025-05-20,False,False,0.1016,0.0,0.1,0.0,-100.0,,27.4,0
CAMP_00193,CUST_00077,Black_Friday_2024,SMS,2024-08-24,False,False,0.0567,0.0,0.05,0.0,-100.0,,27.4,0
CAMP_00194,CUST_00299,Back_to_School_2024,Display Ads,2024-11-30,False,False,0.118,0.0,1.5,0.0,-100.0,,54.2,0
