sepal_length,sepal_width,petal_length,petal_width,species_true,cluster_true
6.67,3.66,4.77,1.58,Species_C,2
7.46,3.24,6.22,1.93,Species_C,2
6.49,3.73,6.5,2.19,Species_C,2
6.54,3.39,5.4,1.59,Species_C,2
7.83,2.71,6.88,1.95,Species_C,2
6.37,3.31,6.68,2.23,Species_C,2
7.61,3.49,6.23,2.35,Species_C,2
6.5,3.23,5.05,2.49,Species_C,2
7.89,2.56,6.26,2.43,Species_C,2
6.36,3.35,6.79,1.53,Species_C,2
7.39,2.95,6.81,2.47,Species_C,2
7.89,3.21,6.66,2.34,Species_C,2
6.64,3.74,4.59,2.1,Species_C,2
6.46,2.68,4.69,2.2,Species_C,2
6.68,3.59,4.66,1.82,Species_C,2
7.08,3.69,5.3,2.13,Species_C,2
7.77,3.42,5.08,1.52,Species_C,2
7.74,2.53,6.69,2.03,Species_C,2
7.88,3.7,6.99,1.85,Species_C,2
7.53,3.1,5.7,2.13,Species_C,2
7.75,3.98,6.42,1.92,Species_C,2
6.84,3.61,5.1,1.61,Species_C,2
6.71,2.93,5.24,1.73,Species_C,2
6.08,2.53,6.97,1.93,Species_C,2
6.77,3.52,5.05,2.45,Species_C,2
7.57,2.63,5.54,2.38,Species_C,2
7.89,3.2,6.03,1.67,Species_C,2
7.98,2.85,6.86,2.15,Species_C,2
7.22,3.27,5.08,1.68,Species_C,2
6.44,2.78,6.45,1.85,Species_C,2
6.12,3.95,6.71,2.43,Species_C,2
7.99,2.76,5.49,2.26,Species_C,2
7.39,2.73,6.54,1.72,Species_C,2
6.45,3.31,5.98,2.08,Species_C,2
6.18,3.82,5.16,1.63,Species_C,2
7.78,3.93,6.66,2.31,Species_C,2
7.31,3.33,4.72,1.91,Species_C,2
6.75,2.89,6.31,2.0,Species_C,2
6.16,2.83,6.21,1.58,Species_C,2
7.7,3.24,5.7,2.09,Species_C,2
7.65,3.02,6.2,2.07,Species_C,2
6.53,3.82,6.49,2.16,Species_C,2
7.7,3.8,6.27,2.34,Species_C,2
7.39,3.52,6.05,2.25,Species_C,2
6.32,3.82,6.68,1.53,Species_C,2
7.65,2.69,5.34,2.24,Species_C,2
6.32,3.73,6.58,2.01,Species_C,2
6.01,2.93,6.04,2.48,Species_C,2
7.26,2.89,6.09,2.04,Species_C,2
7.56,2.66,6.4,2.04,Species_C,2
7.93,3.01,6.08,2.43,Species_C,2
6.21,3.91,6.22,1.57,Species_C,2
6.6,3.56,4.67,2.08,Species_C,2
6.69,3.43,4.61,2.37,Species_C,2
7.95,3.95,6.37,1.63,Species_C,2
